Period,labor force,unemployment rate,CPI,Median Income,Effective Interest Rate,Houses on Market,Houses Sold in Period,Sales Rate over past Year,Months Remaining Inventory,Seasonally-corrected MRI,Median Market Price in Period,Median Sold Price in Period,Monthly Payment on Median Home Sold in Period,Qualifying Income for Median Home Sold in Period,Affordability Index,Unemployment-adjusted Affordability Index
2000-01-01,102087,3.4,169.3,35802,8.18,500,200,200,2.5,2.5,99900,100000,597.0809814915355,28659.8871115937,124.9202408250838,120.67295263703095
2000-02-01,102215,2.9,170,35802,8.18,500,200,200,2.5,2.5,99900,100000,597.0809814915355,28659.8871115937,124.9202408250838,121.29755384115636
2000-03-01,103070,3.1,171,35802,8.18,500,200,200,2.5,2.5,102900,100000,597.0809814915355,28659.8871115937,124.9202408250838,121.04771335950619
2000-04-01,103170,2.4,170.9,35802,8.18,500,200,200,2.5,2.5,99815,100000,597.0809814915355,28659.8871115937,124.9202408250838,121.92215504528178
2000-05-01,101653,2.1,171.2,35802,8.18,500,200,200,2.5,2.5,99937.5,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.29691576775703
2000-06-01,103326,2.5,172.2,35802,8.18,500,200,200,2.5,2.5,98900,100000,597.0809814915355,28659.8871115937,124.9202408250838,121.79723480445669
2000-07-01,104140,2.1,172.7,35802,8.18,500,200,200,2.5,2.5,98855.5,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.29691576775703
2000-08-01,104107,2.3,172.7,35802,8.18,500,200,200,2.5,2.5,99500,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.04707528610686
2000-09-01,103621,1.9,173.6,35802,8.18,500,200,200,2.5,2.5,99800,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.5467562494072
2000-10-01,103927,1.6,173.9,35802,8.18,500,200,200,2.5,2.5,103900,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.92151697188245
2000-11-01,103863,2.1,174.2,35802,8.18,500,200,200,2.5,2.5,107950,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.29691576775703
2000-12-01,104901,2.1,174.6,35802,8.18,500,200,200,2.5,2.5,108900,100000,597.0809814915355,28659.8871115937,124.9202408250838,122.29691576775703
2001-01-01,104654,3,175.6,35201,7.02,447,101,200,4.425742574257426,2.235,107200,91900,490.1183083276162,23525.678799725578,149.6279886317695,145.13914897281643
2001-02-01,104868,2.9,176,35201,7.02,509,141,200,3.6099290780141846,2.545,109900,101100,539.1834708587813,25880.806601221506,136.01198966626723,132.06764196594548
2001-03-01,105228,3,176.1,35201,7.02,534,181,200,2.9502762430939224,2.67,104900,95773,510.7736751192687,24517.136405724897,143.57712669812594,139.26981289718216
2001-04-01,104112,2.6,176.4,35201,7.02,525,209,200,2.511961722488038,2.625,105000,96650,515.4508650692503,24741.641523324015,142.27431097009435,138.5751788848719
2001-05-01,103373,2,177.3,35201,7.02,562,193,200,2.911917098445596,2.81,106900,98900,527.4504972100244,25317.623866081172,139.03753443134093,136.2567837427141
2001-06-01,105073,2.6,177.7,35201,7.02,558,230,200,2.4260869565217393,2.79,104900,99050,528.250472686076,25356.022688931647,138.8269778420961,135.2174764182016
2001-07-01,106186,2,177.4,35201,7.02,546,201,200,2.716417910447761,2.73,103900,96500,514.6508895931987,24703.242700473536,142.49546274880436,139.64555349382826
2001-08-01,105024,2.2,177.4,35201,7.02,549,228,200,2.4078947368421053,2.745,104900,100227,534.527613588161,25657.32545223173,137.1966850774703,134.17835800576594
2001-09-01,105067,1.8,178.1,35201,7.02,534,218,200,2.44954128440367,2.67,103995,99750,531.9836915743168,25535.21719556721,137.85275343618665,135.37140387433527
2001-10-01,104172,1.8,177.6,35201,7.02,534,159,200,3.358490566037736,2.67,106900,97500,519.9840594335428,24959.234852810056,141.03397082317557,138.4953593483584
2001-11-01,103848,2.2,177.5,35201,7.02,536,225,200,2.382222222222222,2.68,107000,102900,548.7831765714005,26341.592475427227,133.6327711881401,130.69285022200103
2001-12-01,103766,2.6,177.4,35201,7.02,537,165,200,3.2545454545454544,2.685,108900,107900,575.4490257731208,27621.553237109794,127.44033508118274,124.12688636907198
2002-01-01,102938,3.5,177.7,46999,6.57,484,137,185.08333333333334,3.5328467153284673,2.6150382710490767,108785,106723,543.5859906833736,26092.127552801932,180.12712801932076,173.82267853864454
2002-02-01,104431,3.4,178,46999,6.57,508,167,187.83333333333334,3.0419161676646707,2.70452528837622,109081,102000,519.5297269539284,24937.426893788564,188.4677204275095,182.05981793297417
2002-03-01,103785,3.6,178.5,46999,6.57,499,180,187.75,2.772222222222222,2.6577896138482022,108700,99400,506.28681234529887,24301.766992574347,193.39745959362142,186.43515104825104
2002-04-01,104626,3.2,179.3,46999,6.57,475,238,188.91666666666666,1.995798319327731,2.514336127040141,110989,99950,509.0881981278936,24436.233510138893,192.3332414567881,186.17857773017087
2002-05-01,104184,2.5,179.5,46999,6.57,471,228,191.75,2.0657894736842106,2.4563233376792697,114900,108450,552.3823420407209,26514.352417954604,177.25871354177934,172.82724570323487
2002-06-01,105577,3,179.6,46999,6.57,449,224,191,2.0044642857142856,2.350785340314136,114900,106400,541.940813214686,26013.159034304932,180.67394251509373,175.25372423964092
2002-07-01,107407,2.6,180,46999,6.57,431,223,192.83333333333334,1.9327354260089686,2.2350907519446843,116900,111200,566.3892709536944,27186.685005777334,172.87506729861485,168.38031554885086
2002-08-01,107984,2.4,180.5,46999,6.57,410,223,192.25,1.8385650224215246,2.1326397919375815,114900,108500,552.6370134755023,26526.57664682411,177.17702749867254,172.9247788387044
2002-09-01,107063,2.3,180.8,46999,6.57,409,198,190.25,2.0656565656565657,2.1498028909329827,114900,105709.5,538.4238007003559,25844.34243361708,181.85411418657708,177.6714695602858
2002-10-01,106278,2.3,181.2,46999,6.57,437,210,195.33333333333334,2.080952380952381,2.237201365187713,115500,109750,559.0037993450356,26832.182368561713,175.1590659098494,171.13040739392287
2002-11-01,105384,2.4,181.5,46999,6.57,433,189,192.5,2.291005291005291,2.2493506493506494,117021,111998,570.4538270528047,27381.78369853463,171.64331044845414,167.52387099769123
2002-12-01,105558,2.7,181.8,46999,6.57,439,114,187.91666666666666,3.8508771929824563,2.3361419068736144,117790,116950,595.6764859535483,28592.47132577032,164.37543808128234,159.93730125308772
2003-01-01,105499,3.9,182.6,37554,5.72,404,137,187.91666666666666,2.948905109489051,2.149889135254989,116464,113500,528.1549674380727,25351.438437027493,148.13360627754298,142.3563956327188
2003-02-01,105758,3.5,183.6,37554,5.72,407,168,188.91666666666666,2.4226190476190474,2.1543890604322895,115666,114504,532.8269285597277,25575.69257086693,146.83473339360307,141.69551772482697
2003-03-01,105654,3.6,183.9,37554,5.72,410,150,187.66666666666666,2.7333333333333334,2.184724689165187,117500,108741,506.0096855875195,24288.46490820094,154.61660562714272,149.05040782456558
2003-04-01,106600,3.1,183.2,37554,5.72,478,219,187.16666666666666,2.182648401826484,2.553873552983081,117500,113215,526.8287633348141,25287.780640071076,148.50650808197793,143.9028063314366
2003-05-01,106407,2.7,182.9,37554,5.72,469,264,189.75,1.7765151515151516,2.4716732542819497,121270,119450,555.8423864359277,26680.434548924528,140.75482890331628,136.95444852292673
2003-06-01,108662,3.3,183.1,37554,5.72,474,251,191.41666666666666,1.8884462151394423,2.47627340008707,119900,115000,535.1349890341705,25686.479473640185,146.20142880435768,141.37678165381388
2003-07-01,109471,2.7,183.7,37554,5.72,438,310,199.5,1.4129032258064516,2.1954887218045114,121900,116750,543.2783475629515,26077.36068302167,144.00997269808246,140.12170343523422
2003-08-01,109832,2.7,184.5,37554,5.72,424,258,201.16666666666666,1.6434108527131783,2.107705053852527,124900,120500,560.7284015531961,26914.963274553415,139.5283345435778,135.76106951090122
2003-09-01,108780,2.5,185.1,37554,5.72,436,210,201.91666666666666,2.0761904761904764,2.159306644655386,124900,121500,565.3817492839281,27138.32396562855,138.3799531893097,134.92045435957695
2003-10-01,108856,2.3,184.9,37554,5.72,435,234,204.41666666666666,1.858974358974359,2.128006522625357,124900,123400,574.2231099723186,27562.709278671296,136.24930561184058,133.11557158276824
2003-11-01,108765,2.6,185,37554,5.72,423,205,205,2.0634146341463415,2.0634146341463415,124829,114000,530.4816413034387,25463.118782565056,147.48389747808008,143.64931614365
2003-12-01,108426,2.9,185.5,37554,5.72,457,138,207,3.3115942028985508,2.207729468599034,125835,113732.5,529.2368707854679,25403.369797702457,147.83078110919158,143.543688457025
2004-01-01,108743,3.7,186.3,51020,5.72,434,128,205.25,3.390625,2.1144945188794155,127900,120250,559.5650646205131,26859.12310178463,189.9540793147116,182.92577838006727
2004-02-01,109221,3.4,186.7,51020,5.72,494,151,203.83333333333334,3.271523178807947,2.4235486508585447,124900,119000,553.7483799570982,26579.922237940715,191.94939527389974,185.42311583458715
2004-03-01,109589,3.6,187.1,51020,5.72,497,217,209.41666666666666,2.2903225806451615,2.3732590529247912,127950,118200,550.0257017725128,26401.233685080613,193.2485451573102,186.29159753164703
2004-04-01,110651,3,187.4,51020,5.72,518,274,213.83333333333334,1.8905109489051095,2.42244738893219,127900,119900,557.936392914757,26780.946859908334,190.50857412505476,184.79331690130311
2004-05-01,110704,2.6,188.2,51020,5.72,474,293,215.83333333333334,1.6177474402730376,2.196138996138996,129900,122300,569.1044274685136,27317.01251848865,186.7700575436964,181.91403604756027
2004-06-01,111798,3.3,188.9,51020,5.72,484,274,217.66666666666666,1.7664233576642336,2.223583460949464,129900,126075,586.6708151520265,28160.199127297274,181.1776961141707,175.19883214240303
2004-07-01,113700,2.7,189.1,51020,5.72,503,279,215.66666666666666,1.8028673835125448,2.3323029366306027,129900,124900,581.2031315684166,27897.750315283993,182.88213000475636,177.94431249462792
2004-08-01,113716,2.7,189.2,51020,5.72,470,275,216.41666666666666,1.709090909090909,2.1717366191759724,129900,123900,576.5497838376847,27674.389624208867,184.35817625176807,179.38050549297034
2004-09-01,112476,2.5,189.8,51020,5.72,507,250,219.66666666666666,2.028,2.3080424886191198,129900,122950,572.1291034934893,27462.196967687487,185.78265992349793,181.1380934254105
2004-10-01,112683,2.2,190.8,51020,5.72,520,220,218.08333333333334,2.3636363636363638,2.38440962934658,129931,129900,604.4698702220762,29014.55377065966,175.84278704845315,171.97424573338716
2004-11-01,111740,2.5,191.7,51020,5.72,514,209,217.83333333333334,2.45933014354067,2.359602142310635,131900,126000,586.3218140722216,28143.44707546664,181.2855399809053,176.75340148138267
2004-12-01,111020,2.9,191.7,51020,5.72,503,176,221.08333333333334,2.8579545454545454,2.275160196004523,134900,125000,581.6684663414898,27920.086384391507,182.73582430075254,177.43648539603072
2005-01-01,110046,3.6,191.6,44108,5.647077261468632,493,155,221.91666666666666,3.1806451612903226,2.221554637626737,135267.5,132000,609.3659016746576,29249.563280383565,150.79883271139764,145.3700747337873
2005-02-01,111429,3.6,192.4,44108,5.647077261468632,542,141,221.08333333333334,3.8439716312056738,2.4515642668676967,134900,119900,553.5073606878141,26568.353313015075,166.0170635354836,160.0404492482062
2005-03-01,111310,3.7,193.1,44108,5.647077261468632,578,199,220.83333333333334,2.9045226130653266,2.6173584905660374,134900,125000,577.0510432525167,27698.450076120804,159.2435673432359,153.35155535153615
2005-04-01,113355,3,193.7,44108,5.647077261468632,577,315,225,1.8317460317460317,2.5644444444444443,136900,128900,595.0550358019952,28562.64171849577,154.42549199305265,149.79272723326108
2005-05-01,114156,2.6,193.6,44108,5.647077261468632,523,313,225.75,1.670926517571885,2.31672203765227,139900,136900,631.9863025701563,30335.342523367504,145.40135805627818,141.62092274681495
2005-06-01,114627,3.1,193.7,44108,5.647077261468632,518,315,229.83333333333334,1.6444444444444444,2.253807106598985,139900,133000,613.9823100206778,29471.150880992536,149.66500690153748,145.0253916875898
