Geo Lat,Geo Lon,Census Tract
46.898581,-96.790151,400
46.855463,-96.788683,901
46.804911,-96.853802,40504
46.879184,-96.787665,700
46.834598,-96.774618,20500
46.861323,-96.891416,10205
46.853913,-96.869367,10111
46.819855,-96.806954,10307
46.852902,-96.765654,20600
46.881653,-96.751498,30300
46.8734,-96.873348,10109
46.826289,-96.799487,10306
46.885233,-96.828334,601
46.804269,-96.857943,40504
46.832215,-96.750165,30110
46.810043,-96.876405,40506
46.906676,-96.790217,204
46.80072,-96.913774,40507
46.812488,-96.914603,40507
46.865739,-96.877596,10109
46.795229,-96.821063,40505
46.838315,-96.805174,1004
46.821883,-96.918948,40502
46.868443,-96.801456,802
46.824236,-96.828801,10303
46.848299,-96.834856,904
46.851058,-96.76197,20600
46.816071,-96.894016,40506
46.81708,-96.887284,40506
46.836328,-96.820734,10308
46.87329,-96.865759,10109
46.858176,-96.894948,10205
46.827057,-96.857165,40504
46.815906,-96.919101,40507
46.892972,-96.764189,30106
46.825112,-96.826399,10303
46.86658,-96.794921,801
46.865337,-96.790779,801
46.873317,-96.866584,10109
46.882802,-96.78272,501
46.82857,-96.856628,40504
46.816631,-96.867933,40501
46.822264,-96.919854,40502
46.854595,-96.827569,903
46.816619,-96.869003,40501
46.816319,-96.873877,40506
46.84931,-96.835918,904
46.813049,-96.877436,40506
46.794714,-96.814491,40505
46.872261,-96.889592,10206
46.83941,-96.715567,30109
46.911336,-96.774303,100
46.92582,-96.788852,204
46.849227,-96.773537,20500
46.815899,-96.915621,40507
46.826232,-96.860586,40504
46.812476,-96.917613,40507
46.819412,-96.916743,40502
46.816264,-96.920009,40507
46.821752,-96.852659,40504
46.860753,-96.724841,30111
46.813216,-96.837199,10303
46.827947,-96.756084,30110
46.827947,-96.756224,30110
46.860549,-96.724822,30111
46.871545,-96.806012,802
46.844592,-96.835317,10308
46.911377,-96.907425,40800
46.817145,-96.897812,40506
46.820637,-96.821959,10303
46.837305,-96.82925,10308
46.852077,-96.881197,10110
46.85695,-96.832628,903
46.840238,-96.753391,30108
46.892375,-96.905075,40800
