,tractvec
1,40505
2,40505
3,700
4,700
5,501
6,40509
7,40509
8,40509
9,40509
10,40509
11,40506
12,40509
13,40501
14,40509
15,700
16,10303
17,40509
18,40504
19,40505
20,40504
21,400
22,40504
23,40509
24,901
25,901
26,40506
27,502
28,901
29,40509
30,40504
31,203
32,100
33,40509
34,40509
35,10303
36,40509
37,40509
38,801
39,10109
40,40505
41,40509
42,400
43,204
44,10308
45,10109
46,400
47,204
48,802
49,40504
50,10303
51,904
52,903
53,802
54,40505
55,1004
56,901
57,204
58,904
59,40505
60,1004
61,40505
62,40506
63,100
64,802
65,901
66,602
67,40505
68,901
69,100
70,40506
71,40501
72,802
73,203
74,1003
75,802
76,40509
77,40504
78,10308
79,40506
80,40501
81,40505
82,40509
83,801
84,502
85,601
86,40501
87,40505
88,602
89,802
90,904
91,901
92,802
93,40509
94,802
95,40506
96,40506
97,40501
98,10303
99,40509
100,904
101,10111
102,40505
103,802
104,1003
105,10109
106,40506
107,700
108,10307
109,400
110,10303
111,40505
112,204
113,10303
114,100
115,40504
116,40506
117,10306
118,802
119,40509
120,1003
121,40501
122,1003
123,40700
124,203
125,10303
126,100
127,10303
128,10308
129,903
130,40504
131,901
132,901
133,801
134,10308
135,40506
136,901
137,501
138,904
139,602
140,40504
141,802
142,1003
143,100
144,801
145,10303
146,10306
147,203
148,400
149,802
150,802
151,40504
152,10308
153,1004
154,10303
155,100
156,502
157,40800
158,40505
159,100
160,802
161,1003
162,502
163,901
164,904
165,904
166,40501
167,10307
168,802
169,40504
170,40505
171,10109
172,10303
173,40506
174,40504
175,10303
176,400
177,802
178,904
179,802
180,40504
181,901
182,1003
183,904
184,40504
185,10306
186,10109
187,501
188,400
189,100
190,501
191,40504
192,10308
193,901
194,40504
195,10306
196,40504
197,1003
198,40505
199,700
200,10109
201,40509
202,802
203,40509
204,40509
205,10308
206,40700
207,100
208,40506
209,501
210,40506
211,40501
212,10307
213,100
214,802
215,901
216,10306
217,40506
218,40506
219,10307
220,40501
221,602
222,40509
223,802
224,801
225,1004
226,601
227,602
228,204
229,40501
230,40506
231,40504
232,40505
233,40506
234,40505
235,1003
236,501
237,40505
238,204
239,100
240,10307
241,40800
242,40504
243,40505
244,40501
245,904
246,40509
247,40504
248,901
249,204
250,40506
251,10306
252,40509
253,40505
254,400
255,40506
256,1003
257,10303
258,904
259,501
260,901
261,904
262,904
263,400
264,10111
265,40501
266,10303
267,10303
268,802
269,400
270,901
271,40501
272,40505
273,100
274,1003
275,400
276,801
277,10308
278,903
279,801
280,40505
281,802
282,100
283,802
284,40501
285,40501
286,40504
287,1003
288,10308
289,40506
290,204
291,100
292,801
293,40501
294,40506
295,802
296,40506
297,903
298,10303
299,40501
300,40509
301,10109
302,40506
303,10109
304,40509
305,40506
306,100
307,10307
308,903
309,501
310,801
311,1004
312,40509
313,10307
314,40509
315,601
316,203
317,40501
318,10303
319,501
320,40505
321,1003
322,40506
323,40509
324,40509
325,40501
326,203
327,204
328,801
329,10111
330,10109
331,903
332,400
333,901
334,40506
335,40501
336,10303
337,40505
338,801
339,802
340,40509
341,40501
342,40504
343,10308
344,1004
345,40506
346,40501
347,10111
348,40505
349,40505
350,40504
351,10308
352,10303
353,40505
354,10303
355,10303
356,901
357,801
358,100
359,10306
360,10308
361,901
362,40509
363,10307
364,903
365,10303
366,802
367,40509
368,40509
369,40506
370,501
371,501
372,601
373,40506
374,10306
375,802
376,901
377,204
378,40505
379,501
380,10306
381,100
382,100
383,300
384,901
385,802
386,40504
387,204
388,100
389,40509
390,40505
391,700
392,10303
393,40700
394,10308
395,602
396,1004
397,40505
398,10303
399,400
400,903
401,10111
402,40501
403,40504
404,901
405,40501
406,502
407,10308
408,40501
409,40504
410,904
411,904
412,1004
413,901
414,1004
415,40505
416,400
417,40509
418,10303
419,40505
420,40501
421,40504
422,100
423,1003
424,501
425,400
426,901
427,10303
428,400
429,502
430,802
431,40504
432,501
433,40505
434,802
435,10109
436,100
437,100
438,10303
439,40509
440,40504
441,1004
442,203
443,10308
444,400
445,40800
446,10306
447,801
448,1003
449,802
450,40505
451,40505
452,501
453,40505
454,40505
455,903
456,204
457,40501
458,40501
459,904
460,40509
461,10308
462,100
463,400
464,802
465,802
466,40506
467,100
468,40509
469,1004
470,10306
471,204
472,40505
473,904
474,802
475,400
476,40509
477,10308
478,40506
479,203
480,40506
481,40506
482,10306
483,802
484,204
485,601
486,10109
487,40506
488,501
489,801
490,40509
491,40509
492,10308
493,40504
494,400
495,40504
496,40509
497,100
498,40501
499,40505
500,40509
501,10303
502,1003
503,501
504,400
505,40501
506,400
507,40506
508,40509
509,10306
510,40509
511,1003
512,10303
513,40700
514,901
515,40506
516,400
517,802
518,501
519,10109
520,901
521,40504
522,100
523,204
524,40501
525,904
526,1003
527,10303
528,1004
529,40509
530,1004
531,40504
532,1004
533,801
534,904
535,300
536,203
537,601
538,40505
539,904
540,40504
541,10308
542,300
543,40506
544,40501
545,10303
546,40506
547,10303
548,40509
549,40504
550,501
551,40506
552,40505
553,10308
554,501
555,40700
556,40700
557,40700
558,40700
559,40700
560,40700
561,40700
562,40700
563,40504
564,40700
565,10111
566,1004
567,40509
568,400
569,40505
570,1004
571,204
572,802
573,40506
574,40509
575,40509
576,40509
577,10308
578,10306
579,901
580,1003
581,40509
582,40509
583,10303
584,1003
585,40505
586,40504
587,203
588,501
589,400
590,1004
591,40505
592,10308
593,40505
594,203
595,40501
596,501
597,10303
598,1003
599,40506
600,10109
601,40509
602,40504
603,40505
604,901
605,100
606,1004
607,802
608,100
609,901
610,40506
611,40505
612,40505
613,40505
614,40505
615,40505
616,40505
617,204
618,502
619,10303
620,40506
621,901
622,10109
623,40505
624,40506
625,502
626,10303
627,802
628,40501
629,204
630,801
631,901
632,300
633,901
634,40501
635,10308
636,901
637,40504
638,502
639,10109
640,400
641,501
642,40501
643,40505
644,40501
645,1003
646,1003
647,1003
648,400
649,40504
650,40505
651,40506
652,904
653,40509
654,802
655,10308
656,801
657,40700
658,40700
659,40505
660,10308
661,801
662,100
663,300
664,601
665,40501
666,100
667,10303
668,204
669,10109
670,502
671,802
672,1003
673,40504
674,10306
675,802
676,100
677,40504
678,40505
679,801
680,1004
681,903
682,10111
683,10308
684,10111
685,903
686,204
687,40504
688,40504
689,801
690,904
691,300
692,1003
693,10306
694,802
695,400
696,100
697,10308
698,203
699,502
700,904
701,10308
702,204
703,100
704,901
705,904
706,400
707,501
708,40509
709,40509
710,40504
711,40504
712,901
713,40509
714,40501
715,40504
716,1004
717,40509
718,10303
719,40509
720,1004
721,40504
722,204
723,40506
724,400
725,100
726,901
727,40509
728,10306
729,400
730,40509
731,100
732,40505
733,40501
734,40509
735,802
736,10308
737,802
738,10307
739,1003
740,204
741,40504
742,40509
743,100
744,40505
745,40509
746,40509
747,204
748,10109
749,100
750,1004
751,40509
752,10308
753,10109
754,40700
755,40506
756,904
757,40509
758,204
759,1004
760,904
761,40509
762,40505
763,10109
764,501
765,10109
766,802
767,901
768,801
769,901
770,40505
771,100
772,901
773,40505
774,40509
775,40509
776,801
777,203
778,40509
779,40504
780,40504
781,10303
782,40509
783,10303
784,802
785,40505
786,40501
787,40501
788,601
789,40504
790,40506
791,10307
792,1003
793,10111
794,40509
795,203
796,802
797,1003
798,40505
799,40504
800,10306
801,802
802,204
803,802
804,203
805,10308
806,40506
807,100
808,40509
809,100
810,40501
811,602
812,602
813,203
814,10308
815,40509
816,901
817,40501
818,40501
819,40509
820,40504
821,400
822,903
823,100
824,40504
825,40505
826,204
827,40506
828,801
829,904
830,10308
831,40509
832,204
833,40509
834,802
835,100
836,1003
837,203
838,501
839,501
840,40501
841,40506
842,300
843,901
844,300
845,40504
846,40506
847,40509
848,40506
849,40509
850,501
851,10307
852,40509
853,100
854,40506
855,400
856,10306
857,400
858,10303
859,40506
860,802
861,10303
862,40509
863,40505
864,501
865,40504
866,10308
867,901
868,40501
869,203
870,40509
871,40509
872,40509
873,40509
874,40509
